IdCompra,Data,Valor,IdImóvel,IdCorretor,IdCliente
1,2021-11-05,709556,5,1,27
2,2021-11-08,478594,47,24,18
3,2021-11-29,94307,22,1,33
4,2021-11-02,126857,11,21,17
5,2021-11-29,493851,23,24,49
6,2021-11-20,377680,30,21,56
7,2021-11-24,405529,21,3,75
8,2021-11-03,376143,39,14,54
9,2021-11-21,1140609,3,13,7
10,2021-11-05,92410,9,3,60
11,2021-11-04,727454,46,1,24
12,2021-11-24,96758,31,18,71
13,2021-11-20,1358872,36,24,37
14,2021-11-08,100000,15,4,47
15,2021-11-21,99061,33,23,54
16,2021-11-24,409198,24,18,45
17,2021-11-20,525606,17,13,85
18,2021-11-06,379714,39,14,56
19,2021-11-29,381499,39,14,8
20,2021-11-04,708593,5,1,6
21,2021-11-19,100000,9,3,28
22,2021-11-03,100000,10,24,99
23,2021-11-23,91653,22,1,14
24,2021-11-10,676396,12,3,69
25,2021-11-26,85629,28,18,5
26,2021-11-17,677881,4,3,71
27,2021-11-13,252771,27,14,59
28,2021-11-25,415962,24,18,23
29,2021-11-23,479816,42,16,13
30,2021-11-18,115605,7,13,69
